,n_votes,who,unique_who,mean,std
sub-NDAREK801BPB_T1w__ax_106,4,"{'Dnkennedy', 'bv42', 'dnkennedy', 'pdonnelly'}",4,0.5,0.5773502691896257
sub-NDAREK801BPB_T1w__ax_126,4,"{'Dylan', 'gkiar'}",2,0.75,0.5
sub-NDAREK801BPB_T1w__ax_146,4,"{'Dnkennedy', 'binarybottle', 'gkiar', 'Kesh'}",4,0.25,0.5
sub-NDAREK801BPB_T1w__ax_66,4,"{'Dylan', 'Dnkennedy', 'cjmarkie', 'jlnrd'}",4,0.0,0.0
sub-NDAREK801BPB_T1w__ax_86,3,"{'akeshavan', 'Dylan', 'ekubota'}",3,0.0,0.0
sub-NDAREK918EC2_T1w__ax_105,8,"{'dnkennedy', 'gkiar', 'binarybottle', 'pdonnelly', 'bv42'}",5,1.0,0.0
sub-NDAREK918EC2_T1w__ax_125,6,"{'Dnkennedy', 'satra', 'gkiar', 'Danjonpeterson '}",4,1.0,0.0
sub-NDAREK918EC2_T1w__ax_145,4,"{'satra', 'gkiar', 'dnkennedy', 'Kesh'}",4,0.5,0.5773502691896257
sub-NDAREK918EC2_T1w__ax_65,4,"{'Kesh', 'dnkennedy', 'cjmarkie', 'pdonnelly'}",4,1.0,0.0
sub-NDAREK918EC2_T1w__ax_85,4,"{'pdonnelly', 'fpereira', '62442katieb'}",3,1.0,0.0
sub-NDAREK947FYP_T1w__ax_106,6,"{'ekubota', 'binarybottle', 'dnkennedy', 'arokem'}",4,0.6666666666666666,0.5163977794943223
sub-NDAREK947FYP_T1w__ax_126,4,"{'Dylan', 'Dnkennedy'}",2,1.0,0.0
sub-NDAREK947FYP_T1w__ax_146,8,"{'Kesh', 'akeshavan', 'gkiar', 'pdonnelly', 'bv42'}",5,0.625,0.5175491695067657
sub-NDAREK947FYP_T1w__ax_66,3,"{'pdonnelly', 'jyeatman '}",2,0.6666666666666666,0.5773502691896258
sub-NDAREK947FYP_T1w__ax_86,4,"{'anisha', 'bv42', 'pdonnelly', '62442katieb'}",4,0.5,0.5773502691896257
sub-NDAREL063PMX_T1w__ax_112,6,"{'akeshavan', 'Dylan', 'dnkennedy', 'pdonnelly'}",4,0.6666666666666666,0.5163977794943223
sub-NDAREL063PMX_T1w__ax_132,4,"{'gkiar', 'dnkennedy', 'pdonnelly', 'ekubota'}",4,0.25,0.5
sub-NDAREL063PMX_T1w__ax_52,3,"{'akeshavan', 'pdonnelly'}",2,1.0,0.0
sub-NDAREL063PMX_T1w__ax_72,3,"{'Dylan', 'Dnkennedy'}",2,1.0,0.0
sub-NDAREL063PMX_T1w__ax_92,4,"{'Dylan', 'Dnkennedy', 'gkiar', 'Kesh'}",4,1.0,0.0
sub-NDAREM018TJQ_T1w__ax_109,4,"{'Dnkennedy', 'gkiar', 'pdonnelly'}",3,1.0,0.0
sub-NDAREM018TJQ_T1w__ax_129,3,"{'Dylan', 'Dnkennedy', 'pbellec'}",3,1.0,0.0
sub-NDAREM018TJQ_T1w__ax_49,5,"{'Dylan', 'Kesh', 'gkiar', 'ekubota', 'bv42'}",5,1.0,0.0
sub-NDAREM018TJQ_T1w__ax_69,5,"{'gkiar', 'another_anisha', 'pdonnelly', 'bv42', 'arokem'}",5,0.8,0.4472135954999579
sub-NDAREM018TJQ_T1w__ax_89,3,"{'akeshavan', 'Dnkennedy', 'Dylan'}",3,1.0,0.0
sub-NDAREM141CKP_T1w__ax_111,5,"{'Dylan', 'dnkennedy', 'fpereira'}",3,1.0,0.0
sub-NDAREM141CKP_T1w__ax_131,6,"{'Dnkennedy', 'bv42', 'cjmarkie', 'pdonnelly'}",4,0.6666666666666666,0.5163977794943223
sub-NDAREM141CKP_T1w__ax_151,3,"{'Dnkennedy', 'binarybottle', 'bv42'}",3,0.3333333333333333,0.5773502691896258
sub-NDAREM141CKP_T1w__ax_71,5,"{'Dnkennedy', 'Dylan', 'dnkennedy', 'gkiar', 'another_anisha'}",5,0.6,0.5477225575051662
sub-NDAREM141CKP_T1w__ax_91,9,"{'Dnkennedy', 'Dylan', 'Kesh', 'akeshavan', 'gkiar', 'another_anisha'}",6,1.0,0.0
sub-NDAREM731BYM_T1w__ax_115,3,"{'Dnkennedy', 'dnkennedy'}",2,1.0,0.0
sub-NDAREM731BYM_T1w__ax_135,5,"{'Dylan', 'bv42', 'Kesh', 'ekubota'}",4,0.6,0.5477225575051662
sub-NDAREM731BYM_T1w__ax_155,5,"{'Dylan', 'Kesh', 'pdonnelly', 'ehuber'}",4,1.0,0.0
sub-NDAREM731BYM_T1w__ax_75,6,"{'Dnkennedy', 'dnkennedy', 'Kesh', 'ehuber', 'anisha', 'cjmarkie'}",6,1.0,0.0
sub-NDAREM731BYM_T1w__ax_95,3,"{'satra', 'dnkennedy', 'Kesh'}",3,1.0,0.0
sub-NDAREN519BLJ_T1w__ax_110,4,"{'akeshavan', 'Dnkennedy', 'arokem'}",3,0.75,0.5
sub-NDAREN519BLJ_T1w__ax_130,5,"{'Dylan', 'Kesh', 'gkiar', 'satra', 'binarybottle'}",5,0.2,0.447213595499958
sub-NDAREN519BLJ_T1w__ax_150,4,"{'akeshavan', 'cjmarkie', 'Kesh'}",3,0.25,0.5
sub-NDAREN519BLJ_T1w__ax_170,4,"{'Dylan', 'Dnkennedy', 'akeshavan'}",3,0.0,0.0
sub-NDAREN519BLJ_T1w__ax_90,4,"{'Dylan', 'Dnkennedy', 'pdonnelly'}",3,0.0,0.0
sub-NDARET550NXC_T1w__ax_107,4,"{'Dnkennedy', 'Kesh', 'pdonnelly'}",3,0.25,0.5
sub-NDARET550NXC_T1w__ax_127,5,"{'Dnkennedy', 'Kesh', 'pdonnelly'}",3,0.8,0.44721359549995804
sub-NDARET550NXC_T1w__ax_147,8,"{'Dnkennedy', 'Dylan', 'Kesh', 'another_anisha'}",4,0.375,0.5175491695067657
sub-NDARET550NXC_T1w__ax_167,3,"{'anisha', 'satra', 'Dnkennedy'}",3,0.0,0.0
sub-NDARET550NXC_T1w__ax_87,7,"{'Dylan', 'Kesh', 'another_anisha', 'sliew', 'satra', 'pdonnelly'}",6,0.0,0.0
sub-NDARET653TAM_T1w__ax_119,3,"{'Dylan', 'Kesh', 'pdonnelly'}",3,0.6666666666666666,0.5773502691896258
sub-NDARET653TAM_T1w__ax_139,4,"{'akeshavan', 'Kesh'}",2,0.75,0.5
sub-NDARET653TAM_T1w__ax_59,4,"{'Dylan', 'Dnkennedy', 'Kesh', 'jyeatman '}",4,0.75,0.5
sub-NDARET653TAM_T1w__ax_79,5,"{'Dnkennedy', 'dnkennedy', 'pdonnelly', 'arokem'}",4,1.0,0.0
sub-NDARET653TAM_T1w__ax_99,5,"{'Dylan', 'satra', 'Kesh', 'pdonnelly'}",4,0.6,0.5477225575051662
sub-NDARET949LMU_T1w__ax_118,7,"{'Dnkennedy', 'bv42', 'pdonnelly', 'arokem'}",4,0.8571428571428571,0.3779644730092272
sub-NDARET949LMU_T1w__ax_138,4,"{'akeshavan', 'gkiar', 'bv42'}",3,0.75,0.5
sub-NDARET949LMU_T1w__ax_158,7,"{'binarybottle', 'bv42', 'arokem', '62442katieb'}",4,1.0,0.0
sub-NDARET949LMU_T1w__ax_78,5,"{'Dylan', 'Dnkennedy', 'dnkennedy'}",3,1.0,0.0
sub-NDARET949LMU_T1w__ax_98,4,"{'anisha', 'Dnkennedy', 'cjmarkie'}",3,1.0,0.0
sub-NDAREU211JMY_T1w__ax_108,5,"{'Dylan', 'gkiar', 'cjmarkie', 'Kesh'}",4,0.8,0.4472135954999579
sub-NDAREU211JMY_T1w__ax_128,4,"{'Dylan', 'Kesh', 'arokem', 'jyeatman '}",4,0.75,0.5
sub-NDAREU211JMY_T1w__ax_148,4,"{'anisha', 'dnkennedy', 'pbellec'}",3,1.0,0.0
sub-NDAREU211JMY_T1w__ax_68,5,"{'anisha', 'Dnkennedy', 'Dylan', '62442katieb'}",4,0.8,0.44721359549995804
sub-NDAREU211JMY_T1w__ax_88,4,"{'Dylan', 'gkiar', 'cjmarkie', 'Kesh'}",4,1.0,0.0
sub-NDAREV527ZRF_T1w__ax_115,6,"{'Dylan', 'dnkennedy', 'pdonnelly', 'anisha', 'bv42', 'cjmarkie'}",6,1.0,0.0
sub-NDAREV527ZRF_T1w__ax_135,3,"{'akeshavan', 'andronovhopf'}",2,0.6666666666666666,0.5773502691896258
sub-NDAREV527ZRF_T1w__ax_55,4,"{'anisha', 'Dylan', 'bv42', 'Kesh'}",4,1.0,0.0
sub-NDAREV527ZRF_T1w__ax_75,4,"{'Dylan', 'spa', 'bv42', 'Kesh'}",4,0.25,0.5
sub-NDAREV527ZRF_T1w__ax_95,4,"{'Dylan', 'pdonnelly'}",2,0.25,0.5
sub-NDAREV601CE7_T1w__ax_113,4,"{'akeshavan', 'bv42', 'Kesh'}",3,0.5,0.5773502691896257
sub-NDAREV601CE7_T1w__ax_133,3,"{'Dylan', 'ekubota'}",2,0.0,0.0
sub-NDAREV601CE7_T1w__ax_153,4,"{'akeshavan', 'Dnkennedy', 'cjmarkie'}",3,0.0,0.0
sub-NDAREV601CE7_T1w__ax_173,9,"{'Dnkennedy', 'jyeatman ', 'pdonnelly', 'bv42', 'cjmarkie'}",5,0.4444444444444444,0.5270462766947299
sub-NDAREV601CE7_T1w__ax_93,8,"{'satra', 'gkiar', 'Kesh', 'ekubota'}",4,0.375,0.5175491695067657
sub-NDAREX091KUR_T1w__ax_105,4,"{'Dylan', 'binarybottle', 'satra', 'cjmarkie'}",4,0.0,0.0
sub-NDAREX091KUR_T1w__ax_125,4,"{'Kesh', 'cjmarkie', 'pdonnelly'}",3,0.0,0.0
sub-NDAREX091KUR_T1w__ax_45,5,"{'Dylan', 'cjmarkie', 'Kesh'}",3,0.0,0.0
sub-NDAREX091KUR_T1w__ax_65,3,"{'akeshavan', 'pdonnelly'}",2,0.6666666666666666,0.5773502691896258
sub-NDAREX091KUR_T1w__ax_85,4,"{'Dylan', 'Dnkennedy', 'satra', 'dnkennedy'}",4,0.25,0.5
sub-NDAREY778CR9_T1w__ax_104,6,"{'Dnkennedy', 'Dylan', 'dnkennedy', 'akeshavan', 'satra'}",5,1.0,0.0
sub-NDAREY778CR9_T1w__ax_124,5,"{'Kesh', 'akeshavan', 'pdonnelly', 'bv42', 'cjmarkie'}",5,0.4,0.5477225575051662
sub-NDAREY778CR9_T1w__ax_44,5,"{'Dylan', 'Kesh', 'ehuber', 'binarybottle', 'anisha'}",5,0.6,0.5477225575051662
sub-NDAREY778CR9_T1w__ax_64,6,"{'Dylan', 'Dnkennedy', 'dnkennedy', 'gkiar', 'satra', 'cjmarkie'}",6,1.0,0.0
sub-NDAREY778CR9_T1w__ax_84,3,"{'akeshavan', 'Dnkennedy', 'Kesh'}",3,1.0,0.0
sub-NDAREY962BM7_T1w__ax_102,3,"{'gkiar', 'ekubota', '62442katieb'}",3,1.0,0.0
sub-NDAREY962BM7_T1w__ax_122,6,"{'Dnkennedy', 'satra', 'Kesh'}",3,1.0,0.0
sub-NDAREY962BM7_T1w__ax_142,4,"{'akeshavan', 'Dylan', 'bv42', 'arokem'}",4,1.0,0.0
sub-NDAREY962BM7_T1w__ax_62,5,"{'Dnkennedy', 'pdonnelly', 'andronovhopf'}",3,0.6,0.5477225575051662
sub-NDAREY962BM7_T1w__ax_82,6,"{'Dnkennedy', 'satra', 'Kesh', 'pbellec'}",4,1.0,0.0
sub-NDAREZ098ZPE_T1w__ax_119,6,"{'Dylan', 'Kesh', 'akeshavan', 'satra', 'pdonnelly'}",5,0.8333333333333334,0.408248290463863
sub-NDAREZ098ZPE_T1w__ax_139,5,"{'Dnkennedy', 'dnkennedy', 'another_anisha'}",3,1.0,0.0
sub-NDAREZ098ZPE_T1w__ax_59,8,"{'Dylan', 'pdonnelly', 'bv42', 'cjmarkie', 'arokem'}",5,0.875,0.3535533905932738
sub-NDAREZ098ZPE_T1w__ax_79,4,"{'satra', 'pdonnelly', 'ekubota'}",3,1.0,0.0
sub-NDAREZ098ZPE_T1w__ax_99,3,"{'Dnkennedy', 'gkiar', 'dnkennedy'}",3,1.0,0.0
sub-NDARFA464HJQ_T1w__ax_113,3,"{'Dnkennedy', 'Kesh', 'pdonnelly'}",3,1.0,0.0
sub-NDARFA464HJQ_T1w__ax_133,4,"{'Dylan', 'satra', 'Kesh'}",3,1.0,0.0
sub-NDARFA464HJQ_T1w__ax_53,3,"{'Dylan', 'gkiar', 'ekubota'}",3,1.0,0.0
sub-NDARFA464HJQ_T1w__ax_73,4,"{'Dylan', 'satra', 'Dnkennedy', 'bv42'}",4,1.0,0.0
sub-NDARFA464HJQ_T1w__ax_93,4,"{'Dylan', 'Dnkennedy', 'gkiar'}",3,1.0,0.0
sub-NDARFA860RPD_T1w__ax_102,8,"{'Dylan', 'Kesh', 'dnkennedy', 'cjmarkie'}",4,0.875,0.3535533905932738
sub-NDARFA860RPD_T1w__ax_122,4,"{'akeshavan', 'cjmarkie', 'Kesh'}",3,1.0,0.0
sub-NDARFA860RPD_T1w__ax_142,5,"{'akeshavan', 'Dnkennedy', 'pdonnelly', 'jyeatman '}",4,0.8,0.4472135954999579
sub-NDARFA860RPD_T1w__ax_62,5,"{'Dylan', 'Dnkennedy', 'bv42', 'pdonnelly'}",4,1.0,0.0
sub-NDARFA860RPD_T1w__ax_82,3,"{'Dylan', 'Dnkennedy', 'pdonnelly'}",3,1.0,0.0
sub-NDARFB107PVH_T1w__ax_105,4,"{'Dnkennedy', 'Dylan', 'arokem'}",3,1.0,0.0
sub-NDARFB107PVH_T1w__ax_125,7,"{'dnkennedy', 'another_anisha', 'ehuber', 'pdonnelly', 'bv42'}",5,1.0,0.0
sub-NDARFB107PVH_T1w__ax_145,4,"{'Dylan', 'binarybottle', 'pdonnelly', 'ehuber'}",4,0.75,0.5
sub-NDARFB107PVH_T1w__ax_65,6,"{'Dylan', 'Dnkennedy', 'pdonnelly', 'ekubota', 'arokem'}",5,0.8333333333333334,0.408248290463863
sub-NDARFB107PVH_T1w__ax_85,4,"{'Dnkennedy', 'Kesh', 'pdonnelly'}",3,1.0,0.0
sub-NDARFB500HHN_T1w__ax_110,3,"{'akeshavan', 'satra', 'gkiar'}",3,0.0,0.0
sub-NDARFB500HHN_T1w__ax_130,6,"{'pdonnelly', 'ekubota', 'bv42', 'cjmarkie', 'arokem'}",5,0.5,0.5477225575051661
sub-NDARFB500HHN_T1w__ax_150,5,"{'Dylan', 'Dnkennedy', 'dnkennedy', 'cjmarkie'}",4,0.0,0.0
sub-NDARFB500HHN_T1w__ax_70,4,"{'ekubota', 'pdonnelly', 'arokem'}",3,0.25,0.5
sub-NDARFB500HHN_T1w__ax_90,5,"{'Dylan', 'cjmarkie', 'anisha', 'jyeatman '}",4,0.0,0.0
sub-NDARFB908HVX_T1w__ax_107,3,"{'anisha', 'gkiar', 'Dylan'}",3,0.0,0.0
sub-NDARFB908HVX_T1w__ax_127,6,"{'Dylan', 'Dnkennedy', 'gkiar'}",3,0.5,0.5477225575051661
sub-NDARFB908HVX_T1w__ax_147,5,"{'Dylan', 'Dnkennedy', 'gkiar'}",3,0.0,0.0
sub-NDARFB908HVX_T1w__ax_67,5,"{'Dnkennedy', 'gkiar', 'Kesh', 'ehuber'}",4,0.6,0.5477225575051662
sub-NDARFB908HVX_T1w__ax_87,7,"{'Dylan', 'Kesh', 'pdonnelly', 'ekubota', 'bv42'}",5,0.42857142857142855,0.5345224838248487
sub-NDARFD822TY5_T1w__ax_110,4,"{'Dylan', 'bv42', 'pdonnelly'}",3,0.5,0.5773502691896257
sub-NDARFD822TY5_T1w__ax_130,3,"{'spa', 'pdonnelly', '62442katieb'}",3,0.3333333333333333,0.5773502691896258
sub-NDARFD822TY5_T1w__ax_50,4,"{'Dnkennedy', 'sliew', 'pdonnelly'}",3,0.5,0.5773502691896257
sub-NDARFD822TY5_T1w__ax_70,7,"{'Dylan', 'Kesh', 'binarybottle', 'pdonnelly', 'ekubota', 'bv42'}",6,0.14285714285714285,0.37796447300922725
sub-NDARFD822TY5_T1w__ax_90,5,"{'Dylan', 'binarybottle', 'Dnkennedy', 'dnkennedy'}",4,0.0,0.0
sub-NDARFE163HVN_T1w__ax_104,4,"{'Dylan', 'binarybottle', 'dnkennedy'}",3,1.0,0.0
sub-NDARFE163HVN_T1w__ax_124,4,"{'Dylan', 'satra', 'pbellec'}",3,1.0,0.0
sub-NDARFE163HVN_T1w__ax_144,8,"{'Kesh', 'another_anisha', 'pdonnelly', 'spa', 'cjmarkie'}",5,0.75,0.4629100498862757
sub-NDARFE163HVN_T1w__ax_164,5,"{'dnkennedy', 'Kesh', 'pdonnelly', 'ekubota', 'cjmarkie'}",5,1.0,0.0
sub-NDARFE163HVN_T1w__ax_84,3,"{'Dylan', 'jyeatman '}",2,1.0,0.0
sub-NDARFH674DWX_T1w__ax_116,7,"{'Dnkennedy', 'ehuber', 'satra', 'pdonnelly', 'bv42'}",5,0.5714285714285714,0.5345224838248488
sub-NDARFH674DWX_T1w__ax_136,5,"{'Dnkennedy', 'dnkennedy', 'Kesh', 'ekubota'}",4,1.0,0.0
sub-NDARFH674DWX_T1w__ax_56,4,"{'akeshavan', 'Dylan', 'cjmarkie'}",3,0.5,0.5773502691896257
sub-NDARFH674DWX_T1w__ax_76,5,"{'akeshavan', 'gkiar', 'satra', 'pdonnelly', 'ekubota'}",5,0.6,0.5477225575051662
sub-NDARFH674DWX_T1w__ax_96,5,"{'anisha', 'armin', 'Kesh', 'ekubota'}",4,0.8,0.44721359549995804
sub-NDARFK477WX9_T1w__ax_100,4,"{'Dylan', 'sliew', 'bv42', 'Kesh'}",4,0.25,0.5
sub-NDARFK477WX9_T1w__ax_120,5,"{'Dylan', 'Kesh', 'pbellec', 'binarybottle', 'anisha'}",5,0.0,0.0
sub-NDARFK477WX9_T1w__ax_140,3,"{'another_anisha', 'arokem', '62442katieb'}",3,0.0,0.0
sub-NDARFK477WX9_T1w__ax_160,5,"{'Dylan', 'Dnkennedy', 'Kesh', 'gkiar', 'satra'}",5,0.2,0.447213595499958
sub-NDARFK477WX9_T1w__ax_80,6,"{'Dylan', 'Dnkennedy', 'dnkennedy', 'gkiar', 'another_anisha'}",5,0.16666666666666666,0.408248290463863
sub-NDARFK610GY5_T1w__ax_102,8,"{'Dnkennedy', 'dnkennedy', 'gkiar', 'another_anisha', 'satra', 'cjmarkie'}",6,0.375,0.5175491695067657
sub-NDARFK610GY5_T1w__ax_122,3,"{'akeshavan', 'Dnkennedy', 'Dylan'}",3,0.6666666666666666,0.5773502691896258
sub-NDARFK610GY5_T1w__ax_142,5,"{'Dylan', 'Dnkennedy', 'dnkennedy'}",3,0.4,0.5477225575051662
sub-NDARFK610GY5_T1w__ax_62,4,"{'akeshavan', 'pdonnelly', 'ekubota', 'anisha'}",4,0.25,0.5
sub-NDARFK610GY5_T1w__ax_82,5,"{'Dylan', 'dnkennedy', 'Kesh', 'akeshavan', 'bv42'}",5,0.2,0.447213595499958
sub-NDARFL411AT1_T1w__ax_102,4,"{'Dylan', 'dnkennedy', 'Kesh', '62442katieb'}",4,1.0,0.0
sub-NDARFL411AT1_T1w__ax_122,5,"{'Dnkennedy', 'Kesh', '62442katieb'}",3,0.4,0.5477225575051662
sub-NDARFL411AT1_T1w__ax_142,6,"{'Dylan', 'Kesh', 'pdonnelly', 'ekubota', 'cjmarkie'}",5,0.8333333333333334,0.408248290463863
sub-NDARFL411AT1_T1w__ax_62,5,{'akeshavan'},1,0.4,0.5477225575051662
sub-NDARFL411AT1_T1w__ax_82,4,"{'Dylan', 'cjmarkie', 'andronovhopf'}",3,1.0,0.0
sub-NDARFM080VAF_T1w__ax_111,5,"{'Dnkennedy', 'gkiar', 'Kesh', 'ekubota'}",4,1.0,0.0
sub-NDARFM080VAF_T1w__ax_131,4,"{'Dylan', 'armin'}",2,1.0,0.0
sub-NDARFM080VAF_T1w__ax_151,6,"{'Dnkennedy', 'satra', 'pdonnelly', 'bv42', 'cjmarkie'}",5,0.5,0.5477225575051661
sub-NDARFM080VAF_T1w__ax_171,4,"{'binarybottle', 'gkiar', 'bv42', 'Kesh'}",4,0.5,0.5773502691896257
sub-NDARFM080VAF_T1w__ax_91,5,"{'Dnkennedy', 'Dylan', 'ehuber', 'arokem'}",4,0.8,0.4472135954999579
sub-NDARFN452VPC_T1w__ax_107,9,"{'Dnkennedy', 'Kesh', 'pdonnelly', 'ekubota', 'arokem'}",5,0.6666666666666666,0.5
sub-NDARFN452VPC_T1w__ax_127,4,"{'Dylan', 'gkiar', 'akeshavan', 'pdonnelly'}",4,0.75,0.5
sub-NDARFN452VPC_T1w__ax_147,5,"{'Dylan', 'bv42', 'Kesh'}",3,0.8,0.4472135954999579
sub-NDARFN452VPC_T1w__ax_67,5,"{'Dylan', 'Dnkennedy', 'Kesh', 'pdonnelly'}",4,0.8,0.4472135954999579
sub-NDARFN452VPC_T1w__ax_87,3,"{'pdonnelly', 'jyeatman ', '62442katieb'}",3,0.6666666666666666,0.5773502691896258
sub-NDARFR108JNB_T1w__ax_119,3,"{'cjmarkie', 'Kesh', 'ekubota'}",3,0.6666666666666666,0.5773502691896258
sub-NDARFR108JNB_T1w__ax_139,7,"{'Dnkennedy', 'Kesh', 'pdonnelly'}",3,0.5714285714285714,0.5345224838248488
sub-NDARFR108JNB_T1w__ax_59,4,"{'anisha', 'bv42'}",2,0.25,0.5
sub-NDARFR108JNB_T1w__ax_79,4,"{'akeshavan', 'bv42', 'cjmarkie'}",3,0.25,0.5
sub-NDARFR108JNB_T1w__ax_99,4,"{'akeshavan', 'spa', 'bv42', 'anisha'}",4,0.25,0.5
sub-NDARFR109LKT_T1w__ax_107,5,"{'akeshavan', 'Dylan', 'dnkennedy', 'Kesh'}",4,0.8,0.4472135954999579
sub-NDARFR109LKT_T1w__ax_127,6,"{'Kesh', 'akeshavan', 'armin', 'pdonnelly', 'cjmarkie'}",5,0.3333333333333333,0.5163977794943223
sub-NDARFR109LKT_T1w__ax_147,4,"{'Dylan', 'binarybottle', 'gkiar', 'ehuber'}",4,0.75,0.5
sub-NDARFR109LKT_T1w__ax_167,4,"{'Dnkennedy', 'Kesh', 'ekubota'}",3,0.5,0.5773502691896257
sub-NDARFR109LKT_T1w__ax_87,4,"{'Dylan', 'cjmarkie', 'Kesh', 'jyeatman '}",4,1.0,0.0
sub-NDARFT834NT1_T1w__ax_114,5,"{'akeshavan', 'bv42', 'Kesh', 'ekubota'}",4,0.8,0.4472135954999579
sub-NDARFT834NT1_T1w__ax_134,6,"{'akeshavan', 'bv42', 'pdonnelly', 'ekubota'}",4,0.6666666666666666,0.5163977794943223
sub-NDARFT834NT1_T1w__ax_154,3,"{'Dylan', 'Dnkennedy', 'pdonnelly'}",3,1.0,0.0
sub-NDARFT834NT1_T1w__ax_74,6,"{'Dnkennedy', 'gkiar', 'dnkennedy', 'fpereira'}",4,0.8333333333333334,0.408248290463863
sub-NDARFT834NT1_T1w__ax_94,3,"{'Dylan', 'satra', 'dnkennedy'}",3,1.0,0.0
sub-NDARFU789PRX_T1w__ax_119,5,"{'Dylan', 'binarybottle', 'spa', 'dnkennedy'}",4,1.0,0.0
sub-NDARFU789PRX_T1w__ax_139,4,"{'Kesh', 'dnkennedy', 'cjmarkie'}",3,1.0,0.0
sub-NDARFU789PRX_T1w__ax_59,6,"{'Dylan', 'cjmarkie', 'Kesh', 'arokem'}",4,1.0,0.0
sub-NDARFU789PRX_T1w__ax_79,3,"{'Dnkennedy', 'cjmarkie', 'pdonnelly'}",3,0.6666666666666666,0.5773502691896258
sub-NDARFU789PRX_T1w__ax_99,5,"{'anisha', 'Kesh', 'pdonnelly'}",3,1.0,0.0
sub-NDARFW130NGG_T1w__ax_118,3,"{'gkiar', 'bv42', 'pdonnelly'}",3,1.0,0.0
sub-NDARFW130NGG_T1w__ax_138,5,"{'Dnkennedy', 'Kesh', 'akeshavan', 'gkiar', 'satra'}",5,1.0,0.0
sub-NDARFW130NGG_T1w__ax_158,7,"{'Dnkennedy', 'Kesh', 'gkiar', 'pdonnelly', 'cjmarkie'}",5,0.8571428571428571,0.37796447300922725
sub-NDARFW130NGG_T1w__ax_78,5,"{'Dylan', 'Dnkennedy', 'cjmarkie'}",3,1.0,0.0
sub-NDARFW130NGG_T1w__ax_98,6,"{'62442katieb', 'satra', 'pdonnelly', 'ekubota', 'bv42'}",5,0.8333333333333334,0.408248290463863
sub-NDARFW292PBD_T1w__ax_108,7,"{'Dylan', 'pdonnelly', 'ekubota', 'bv42', 'arokem'}",5,1.0,0.0
sub-NDARFW292PBD_T1w__ax_128,5,"{'Dylan', 'Dnkennedy', 'jyeatman ', 'gkiar', 'cjmarkie'}",5,1.0,0.0
sub-NDARFW292PBD_T1w__ax_148,5,"{'Dnkennedy', 'dnkennedy', 'cjmarkie', 'ekubota'}",4,1.0,0.0
sub-NDARFW292PBD_T1w__ax_68,5,"{'Dylan', 'Dnkennedy', 'pdonnelly', 'cjmarkie', 'andronovhopf'}",5,0.6,0.5477225575051662
sub-NDARFW292PBD_T1w__ax_88,5,"{'Dylan', 'gkiar', 'cjmarkie'}",3,0.8,0.4472135954999579
sub-NDARFW444PN1_T1w__ax_119,3,"{'Dnkennedy', 'dnkennedy', 'armin'}",3,0.3333333333333333,0.5773502691896258
sub-NDARFW444PN1_T1w__ax_139,5,"{'anisha', 'Dylan', 'Kesh'}",3,0.4,0.5477225575051662
sub-NDARFW444PN1_T1w__ax_59,5,"{'Dnkennedy', '62442katieb', 'anisha', 'bv42', 'cjmarkie'}",5,0.6,0.5477225575051662
sub-NDARFW444PN1_T1w__ax_79,4,"{'Dylan', 'bv42', 'dnkennedy'}",3,1.0,0.0
sub-NDARFW444PN1_T1w__ax_99,4,"{'Dylan', 'Dnkennedy', 'pdonnelly', 'ehuber'}",4,0.5,0.5773502691896257
sub-NDARFW972KFQ_T1w__ax_104,4,"{'akeshavan', 'binarybottle', 'Dylan'}",3,1.0,0.0
sub-NDARFW972KFQ_T1w__ax_124,5,"{'Dnkennedy', 'satra', 'Kesh'}",3,0.6,0.5477225575051662
sub-NDARFW972KFQ_T1w__ax_144,4,"{'Dnkennedy', 'gkiar', 'Kesh'}",3,1.0,0.0
sub-NDARFW972KFQ_T1w__ax_64,5,"{'Kesh', 'akeshavan', 'ehuber', 'pdonnelly', 'ekubota'}",5,1.0,0.0
sub-NDARFW972KFQ_T1w__ax_84,4,"{'Dylan', 'bv42', 'dnkennedy', 'pbellec'}",4,0.75,0.5
sub-NDARFY009MNL_T1w__ax_112,5,"{'binarybottle', 'gkiar', 'bv42', 'ekubota'}",4,0.6,0.5477225575051662
sub-NDARFY009MNL_T1w__ax_132,4,"{'anisha', 'Dnkennedy', 'akeshavan'}",3,1.0,0.0
sub-NDARFY009MNL_T1w__ax_152,5,"{'Dylan', 'Dnkennedy', 'Kesh', 'pdonnelly'}",4,0.8,0.4472135954999579
sub-NDARFY009MNL_T1w__ax_72,4,"{'Dylan', 'satra', 'gkiar', 'pbellec'}",4,1.0,0.0
sub-NDARFY009MNL_T1w__ax_92,5,"{'Dnkennedy', 'gkiar', 'bv42', 'Kesh'}",4,0.8,0.4472135954999579
sub-NDARFY612EMR_T1w__ax_101,5,"{'dnkennedy', 'Kesh', 'pdonnelly', 'bv42', 'andronovhopf'}",5,1.0,0.0
sub-NDARFY612EMR_T1w__ax_121,5,"{'Dnkennedy', 'bv42', 'akeshavan', 'pdonnelly'}",4,0.8,0.4472135954999579
sub-NDARFY612EMR_T1w__ax_141,4,"{'Dylan', 'pdonnelly', 'ekubota'}",3,0.75,0.5
sub-NDARFY612EMR_T1w__ax_61,4,"{'gkiar', 'bv42', 'Kesh', 'ekubota'}",4,0.75,0.5
